name,start_date,end_date,tours,time_control,white,black,date,result,id,series_no,Tournment_serial,concatenate
tournament_1,2014-01-08,2014-01-17,9,rapid,贾叶珍,范辰妮,2014-01-08,0.5,tournament_1_1,1,1,1.1
tournament_1,2014-01-08,2014-01-17,9,rapid,吕亚光,李嘉爵,2014-01-08,0.5,tournament_1_2,2,1,1.2
tournament_1,2014-01-08,2014-01-17,9,rapid,刘奇喜,刘晓鹏,2014-01-08,0.5,tournament_1_3,3,1,1.3
tournament_1,2014-01-08,2014-01-17,9,rapid,陆桂姐,郑新聪,2014-01-08,1.0,tournament_1_4,4,1,1.4
tournament_1,2014-01-08,2014-01-17,9,rapid,李汶玲,叶天英,2014-01-08,0.5,tournament_1_5,5,1,1.5
tournament_1,2014-01-08,2014-01-17,9,rapid,薛冠,杨钰,2014-01-08,0.5,tournament_1_6,6,1,1.6
tournament_1,2014-01-08,2014-01-17,9,rapid,冯燕家,曹灵缨,2014-01-08,0.0,tournament_1_7,7,1,1.7
tournament_1,2014-01-08,2014-01-17,9,rapid,刘家坚,齐慧智,2014-01-08,1.0,tournament_1_8,8,1,1.8
tournament_1,2014-01-08,2014-01-17,9,rapid,张志琼,吴秋,2014-01-08,1.0,tournament_1_9,9,1,1.9
tournament_1,2014-01-08,2014-01-17,9,rapid,徐先广,吴昱明,2014-01-08,1.0,tournament_1_10,10,1,1.10
tournament_1,2014-01-08,2014-01-17,9,rapid,杨佩义,王由航,2014-01-08,0.0,tournament_1_11,11,1,1.11
tournament_1,2014-01-08,2014-01-17,9,rapid,王永赟,方东,2014-01-08,0.5,tournament_1_12,12,1,1.12
tournament_1,2014-01-08,2014-01-17,9,rapid,刘宇福,朱有荣,2014-01-08,1.0,tournament_1_13,13,1,1.13
tournament_1,2014-01-08,2014-01-17,9,rapid,杨莎强,余冬春,2014-01-08,0.5,tournament_1_14,14,1,1.14
tournament_1,2014-01-08,2014-01-17,9,rapid,孟芳全,阎斯钧,2014-01-08,0.5,tournament_1_15,15,1,1.15
tournament_1,2014-01-08,2014-01-17,9,rapid,钟弘存,张半植,2014-01-08,0.5,tournament_1_16,16,1,1.16
tournament_1,2014-01-08,2014-01-17,9,rapid,范存妞,何建芝,2014-01-08,1.0,tournament_1_17,17,1,1.17
tournament_1,2014-01-08,2014-01-17,9,rapid,李琳华,毛心磊,2014-01-08,0.0,tournament_1_18,18,1,1.18
tournament_1,2014-01-08,2014-01-17,9,rapid,袁小昆,董玉波,2014-01-08,0.5,tournament_1_19,19,1,1.19
tournament_1,2014-01-08,2014-01-17,9,rapid,李文子,何驿艳,2014-01-08,1.0,tournament_1_20,20,1,1.20
tournament_1,2014-01-08,2014-01-17,9,rapid,刘先,梁扬,2014-01-08,1.0,tournament_1_21,21,1,1.21
tournament_1,2014-01-08,2014-01-17,9,rapid,杨燕波,袁宪萍,2014-01-08,0.5,tournament_1_22,22,1,1.22
tournament_1,2014-01-08,2014-01-17,9,rapid,陈思刚,刘星梅,2014-01-08,0.5,tournament_1_23,23,1,1.23
tournament_1,2014-01-08,2014-01-17,9,rapid,张延营,张燕,2014-01-08,1.0,tournament_1_24,24,1,1.24
tournament_1,2014-01-08,2014-01-17,9,rapid,张安甜,张木兴,2014-01-08,1.0,tournament_1_25,25,1,1.25
tournament_1,2014-01-08,2014-01-17,9,rapid,李松江,王千迅,2014-01-08,1.0,tournament_1_26,26,1,1.26
tournament_1,2014-01-08,2014-01-17,9,rapid,梁良,殷小,2014-01-08,1.0,tournament_1_27,27,1,1.27
tournament_1,2014-01-08,2014-01-17,9,rapid,董海非,魏兴,2014-01-08,0.5,tournament_1_28,28,1,1.28
tournament_1,2014-01-08,2014-01-17,9,rapid,毛均承,彭国,2014-01-08,0.5,tournament_1_29,29,1,1.29
tournament_1,2014-01-08,2014-01-17,9,rapid,李守超,谢庆麟,2014-01-08,1.0,tournament_1_30,30,1,1.30
tournament_1,2014-01-08,2014-01-17,9,rapid,王剑铭,陈音亮,2014-01-08,1.0,tournament_1_31,31,1,1.31
tournament_1,2014-01-08,2014-01-17,9,rapid,杨承,沈岚鸿,2014-01-08,0.0,tournament_1_32,32,1,1.32
tournament_1,2014-01-08,2014-01-17,9,rapid,张家懿,李巧芸,2014-01-08,0.0,tournament_1_33,33,1,1.33
tournament_1,2014-01-08,2014-01-17,9,rapid,曹灵缨,陆桂姐,2014-01-09,0.5,tournament_1_34,34,1,1.34
tournament_1,2014-01-08,2014-01-17,9,rapid,王由航,刘家坚,2014-01-09,0.0,tournament_1_35,35,1,1.35
tournament_1,2014-01-08,2014-01-17,9,rapid,毛心磊,张志琼,2014-01-09,0.5,tournament_1_36,36,1,1.36
tournament_1,2014-01-08,2014-01-17,9,rapid,沈岚鸿,徐先广,2014-01-09,1.0,tournament_1_37,37,1,1.37
tournament_1,2014-01-08,2014-01-17,9,rapid,李巧芸,刘宇福,2014-01-09,0.5,tournament_1_38,38,1,1.38
tournament_1,2014-01-08,2014-01-17,9,rapid,范辰妮,范存妞,2014-01-09,0.0,tournament_1_39,39,1,1.39
tournament_1,2014-01-08,2014-01-17,9,rapid,李嘉爵,李文子,2014-01-09,0.0,tournament_1_40,40,1,1.40
tournament_1,2014-01-08,2014-01-17,9,rapid,刘晓鹏,刘先,2014-01-09,0.5,tournament_1_41,41,1,1.41
tournament_1,2014-01-08,2014-01-17,9,rapid,叶天英,张延营,2014-01-09,0.0,tournament_1_42,42,1,1.42
tournament_1,2014-01-08,2014-01-17,9,rapid,杨钰,张安甜,2014-01-09,1.0,tournament_1_43,43,1,1.43
tournament_1,2014-01-08,2014-01-17,9,rapid,方东,李松江,2014-01-09,1.0,tournament_1_44,44,1,1.44
tournament_1,2014-01-08,2014-01-17,9,rapid,余冬春,梁良,2014-01-09,0.5,tournament_1_45,45,1,1.45
tournament_1,2014-01-08,2014-01-17,9,rapid,阎斯钧,李守超,2014-01-09,0.0,tournament_1_46,46,1,1.46
tournament_1,2014-01-08,2014-01-17,9,rapid,张半植,王剑铭,2014-01-09,1.0,tournament_1_47,47,1,1.47
tournament_1,2014-01-08,2014-01-17,9,rapid,董玉波,贾叶珍,2014-01-09,1.0,tournament_1_48,48,1,1.48
tournament_1,2014-01-08,2014-01-17,9,rapid,袁宪萍,吕亚光,2014-01-09,0.5,tournament_1_49,49,1,1.49
tournament_1,2014-01-08,2014-01-17,9,rapid,刘星梅,刘奇喜,2014-01-09,1.0,tournament_1_50,50,1,1.50
tournament_1,2014-01-08,2014-01-17,9,rapid,魏兴,李汶玲,2014-01-09,0.5,tournament_1_51,51,1,1.51
tournament_1,2014-01-08,2014-01-17,9,rapid,彭国,薛冠,2014-01-09,1.0,tournament_1_52,52,1,1.52
tournament_1,2014-01-08,2014-01-17,9,rapid,郑新聪,王永赟,2014-01-09,0.5,tournament_1_53,53,1,1.53
tournament_1,2014-01-08,2014-01-17,9,rapid,齐慧智,杨莎强,2014-01-09,0.0,tournament_1_54,54,1,1.54
tournament_1,2014-01-08,2014-01-17,9,rapid,吴秋,孟芳全,2014-01-09,1.0,tournament_1_55,55,1,1.55
tournament_1,2014-01-08,2014-01-17,9,rapid,吴昱明,钟弘存,2014-01-09,0.5,tournament_1_56,56,1,1.56
tournament_1,2014-01-08,2014-01-17,9,rapid,朱有荣,袁小昆,2014-01-09,0.5,tournament_1_57,57,1,1.57
tournament_1,2014-01-08,2014-01-17,9,rapid,何建芝,杨燕波,2014-01-09,0.0,tournament_1_58,58,1,1.58
tournament_1,2014-01-08,2014-01-17,9,rapid,何驿艳,陈思刚,2014-01-09,0.5,tournament_1_59,59,1,1.59
tournament_1,2014-01-08,2014-01-17,9,rapid,梁扬,董海非,2014-01-09,1.0,tournament_1_60,60,1,1.60
tournament_1,2014-01-08,2014-01-17,9,rapid,张燕,毛均承,2014-01-09,0.0,tournament_1_61,61,1,1.61
tournament_1,2014-01-08,2014-01-17,9,rapid,张木兴,冯燕家,2014-01-09,1.0,tournament_1_62,62,1,1.62
tournament_1,2014-01-08,2014-01-17,9,rapid,王千迅,杨佩义,2014-01-09,0.0,tournament_1_63,63,1,1.63
tournament_1,2014-01-08,2014-01-17,9,rapid,殷小,李琳华,2014-01-09,0.5,tournament_1_64,64,1,1.64
tournament_1,2014-01-08,2014-01-17,9,rapid,谢庆麟,杨承,2014-01-09,1.0,tournament_1_65,65,1,1.65
tournament_1,2014-01-08,2014-01-17,9,rapid,陈音亮,张家懿,2014-01-09,1.0,tournament_1_66,66,1,1.66
tournament_1,2014-01-08,2014-01-17,9,rapid,刘家坚,沈岚鸿,2014-01-10,0.0,tournament_1_67,67,1,1.67
tournament_1,2014-01-08,2014-01-17,9,rapid,范存妞,曹灵缨,2014-01-10,0.5,tournament_1_68,68,1,1.68
tournament_1,2014-01-08,2014-01-17,9,rapid,李文子,毛心磊,2014-01-10,1.0,tournament_1_69,69,1,1.69
tournament_1,2014-01-08,2014-01-17,9,rapid,张延营,李巧芸,2014-01-10,1.0,tournament_1_70,70,1,1.70
tournament_1,2014-01-08,2014-01-17,9,rapid,李守超,杨钰,2014-01-10,0.5,tournament_1_71,71,1,1.71
tournament_1,2014-01-08,2014-01-17,9,rapid,陆桂姐,方东,2014-01-10,1.0,tournament_1_72,72,1,1.72
tournament_1,2014-01-08,2014-01-17,9,rapid,张志琼,张半植,2014-01-10,1.0,tournament_1_73,73,1,1.73
tournament_1,2014-01-08,2014-01-17,9,rapid,刘宇福,董玉波,2014-01-10,1.0,tournament_1_74,74,1,1.74
tournament_1,2014-01-08,2014-01-17,9,rapid,刘先,刘星梅,2014-01-10,0.0,tournament_1_75,75,1,1.75
tournament_1,2014-01-08,2014-01-17,9,rapid,梁良,彭国,2014-01-10,1.0,tournament_1_76,76,1,1.76
tournament_1,2014-01-08,2014-01-17,9,rapid,杨莎强,王由航,2014-01-10,0.5,tournament_1_77,77,1,1.77
tournament_1,2014-01-08,2014-01-17,9,rapid,杨燕波,刘晓鹏,2014-01-10,0.0,tournament_1_78,78,1,1.78
