name,start_date,end_date,tours,time_control,white,black,date,result,id,Pattern,Tournment_serial,series_no,dense_rank
tournament_1,2014-01-08,2014-01-17,9,rapid,贾叶珍,范辰妮,2014-01-08,0.5,tournament_1_1,1_1,1,1,1
tournament_1,2014-01-08,2014-01-17,9,rapid,吕亚光,李嘉爵,2014-01-08,0.5,tournament_1_2,1_2,1,2,112
tournament_1,2014-01-08,2014-01-17,9,rapid,刘奇喜,刘晓鹏,2014-01-08,0.5,tournament_1_3,1_3,1,3,223
tournament_1,2014-01-08,2014-01-17,9,rapid,陆桂姐,郑新聪,2014-01-08,1.0,tournament_1_4,1_4,1,4,334
tournament_1,2014-01-08,2014-01-17,9,rapid,李汶玲,叶天英,2014-01-08,0.5,tournament_1_5,1_5,1,5,378
tournament_1,2014-01-08,2014-01-17,9,rapid,薛冠,杨钰,2014-01-08,0.5,tournament_1_6,1_6,1,6,389
tournament_1,2014-01-08,2014-01-17,9,rapid,冯燕家,曹灵缨,2014-01-08,0.0,tournament_1_7,1_7,1,7,400
tournament_1,2014-01-08,2014-01-17,9,rapid,刘家坚,齐慧智,2014-01-08,1.0,tournament_1_8,1_8,1,8,411
tournament_1,2014-01-08,2014-01-17,9,rapid,张志琼,吴秋,2014-01-08,1.0,tournament_1_9,1_9,1,9,422
tournament_1,2014-01-08,2014-01-17,9,rapid,徐先广,吴昱明,2014-01-08,1.0,tournament_1_10,1_10,1,10,2
tournament_1,2014-01-08,2014-01-17,9,rapid,杨佩义,王由航,2014-01-08,0.0,tournament_1_11,1_11,1,11,13
tournament_1,2014-01-08,2014-01-17,9,rapid,王永赟,方东,2014-01-08,0.5,tournament_1_12,1_12,1,12,24
tournament_1,2014-01-08,2014-01-17,9,rapid,刘宇福,朱有荣,2014-01-08,1.0,tournament_1_13,1_13,1,13,35
tournament_1,2014-01-08,2014-01-17,9,rapid,杨莎强,余冬春,2014-01-08,0.5,tournament_1_14,1_14,1,14,46
tournament_1,2014-01-08,2014-01-17,9,rapid,孟芳全,阎斯钧,2014-01-08,0.5,tournament_1_15,1_15,1,15,57
tournament_1,2014-01-08,2014-01-17,9,rapid,钟弘存,张半植,2014-01-08,0.5,tournament_1_16,1_16,1,16,68
tournament_1,2014-01-08,2014-01-17,9,rapid,范存妞,何建芝,2014-01-08,1.0,tournament_1_17,1_17,1,17,79
tournament_1,2014-01-08,2014-01-17,9,rapid,李琳华,毛心磊,2014-01-08,0.0,tournament_1_18,1_18,1,18,90
tournament_1,2014-01-08,2014-01-17,9,rapid,袁小昆,董玉波,2014-01-08,0.5,tournament_1_19,1_19,1,19,101
tournament_1,2014-01-08,2014-01-17,9,rapid,李文子,何驿艳,2014-01-08,1.0,tournament_1_20,1_20,1,20,113
tournament_1,2014-01-08,2014-01-17,9,rapid,刘先,梁扬,2014-01-08,1.0,tournament_1_21,1_21,1,21,124
tournament_1,2014-01-08,2014-01-17,9,rapid,杨燕波,袁宪萍,2014-01-08,0.5,tournament_1_22,1_22,1,22,135
tournament_1,2014-01-08,2014-01-17,9,rapid,陈思刚,刘星梅,2014-01-08,0.5,tournament_1_23,1_23,1,23,146
tournament_1,2014-01-08,2014-01-17,9,rapid,张延营,张燕,2014-01-08,1.0,tournament_1_24,1_24,1,24,157
tournament_1,2014-01-08,2014-01-17,9,rapid,张安甜,张木兴,2014-01-08,1.0,tournament_1_25,1_25,1,25,168
tournament_1,2014-01-08,2014-01-17,9,rapid,李松江,王千迅,2014-01-08,1.0,tournament_1_26,1_26,1,26,179
tournament_1,2014-01-08,2014-01-17,9,rapid,梁良,殷小,2014-01-08,1.0,tournament_1_27,1_27,1,27,190
tournament_1,2014-01-08,2014-01-17,9,rapid,董海非,魏兴,2014-01-08,0.5,tournament_1_28,1_28,1,28,201
tournament_1,2014-01-08,2014-01-17,9,rapid,毛均承,彭国,2014-01-08,0.5,tournament_1_29,1_29,1,29,212
tournament_1,2014-01-08,2014-01-17,9,rapid,李守超,谢庆麟,2014-01-08,1.0,tournament_1_30,1_30,1,30,224
tournament_1,2014-01-08,2014-01-17,9,rapid,王剑铭,陈音亮,2014-01-08,1.0,tournament_1_31,1_31,1,31,235
tournament_1,2014-01-08,2014-01-17,9,rapid,杨承,沈岚鸿,2014-01-08,0.0,tournament_1_32,1_32,1,32,246
tournament_1,2014-01-08,2014-01-17,9,rapid,张家懿,李巧芸,2014-01-08,0.0,tournament_1_33,1_33,1,33,257
tournament_1,2014-01-08,2014-01-17,9,rapid,曹灵缨,陆桂姐,2014-01-09,0.5,tournament_1_34,1_34,1,34,268
tournament_1,2014-01-08,2014-01-17,9,rapid,王由航,刘家坚,2014-01-09,0.0,tournament_1_35,1_35,1,35,279
tournament_1,2014-01-08,2014-01-17,9,rapid,毛心磊,张志琼,2014-01-09,0.5,tournament_1_36,1_36,1,36,290
tournament_1,2014-01-08,2014-01-17,9,rapid,沈岚鸿,徐先广,2014-01-09,1.0,tournament_1_37,1_37,1,37,301
tournament_1,2014-01-08,2014-01-17,9,rapid,李巧芸,刘宇福,2014-01-09,0.5,tournament_1_38,1_38,1,38,312
tournament_1,2014-01-08,2014-01-17,9,rapid,范辰妮,范存妞,2014-01-09,0.0,tournament_1_39,1_39,1,39,323
tournament_1,2014-01-08,2014-01-17,9,rapid,李嘉爵,李文子,2014-01-09,0.0,tournament_1_40,1_40,1,40,335
tournament_1,2014-01-08,2014-01-17,9,rapid,刘晓鹏,刘先,2014-01-09,0.5,tournament_1_41,1_41,1,41,346
tournament_1,2014-01-08,2014-01-17,9,rapid,叶天英,张延营,2014-01-09,0.0,tournament_1_42,1_42,1,42,357
